,polarity,tweet_Id,date,fulltweet
29,1.0,1462980640836575238,2021-11-23T03:05:40.000Z,might stimulate brains not experienced much stimulation
32,1.0,1462980821023928321,2021-11-23T03:06:23.000Z,rfms rfm sixth grade math playing review house points today shout ms wilson ms williams som u
33,1.0,1462980994261266436,2021-11-23T03:07:04.000Z,almost thought pumpkin pie u f no evaporated milk wegmans u f finally found tops u f
34,1.0,1462981026125434880,2021-11-23T03:07:12.000Z,often think ashley judd sang cheats maybe conflating revenge theme double musical stylings wynonna judd
35,1.0,1462981050787942407,2021-11-23T03:07:18.000Z,sorry comment not likes but think people share mi u
36,1.0,1462981078369587201,2021-11-23T03:07:24.000Z,final u c th century presidents u danger u xa danger
37,1.0,1462981122267172865,2021-11-23T03:07:35.000Z,unfortch jojo winning would u tough hill climb considering boomers hated dance experience u bottom handful people beat kloots cody u counts
41,1.0,1462981814650392580,2021-11-23T03:10:20.000Z,great engagement today th grade expressions equations shout williams u
42,1.0,1462981849131663362,2021-11-23T03:10:28.000Z,ih lucuk
43,1.0,1462981870010970125,2021-11-23T03:10:33.000Z,upsetting thing turn tv wheel fortune cusp miss u ugh
46,1.0,1462982152954564613,2021-11-23T03:11:40.000Z,first place losing week beat brother wasn u even close u f aa u f fe
47,1.0,1462982313441042435,2021-11-23T03:12:19.000Z,didn u anticipate fighting life watching family bc trans contestant yet
48,1.0,1462982487831990276,2021-11-23T03:13:00.000Z,buat kamuflase di antara rerumputan
49,1.0,1462982505372348424,2021-11-23T03:13:04.000Z,feel bad lady middle didn u make final but don u think u ever seen someone free u
51,1.0,1462982782100164610,2021-11-23T03:14:10.000Z,story full jeoputants
52,1.0,1462982789876178944,2021-11-23T03:14:12.000Z,think obvious choice new permanent host
54,1.0,1462982860860792836,2021-11-23T03:14:29.000Z,game harder
55,1.0,1462983007195656193,2021-11-23T03:15:04.000Z,tozier eddie kaspbrak worst player time not bc doesnt know answer question but bc forgets ans u
56,1.0,1462983263329218563,2021-11-23T03:16:05.000Z,would kill tonight u
60,1.0,1462983797339787267,2021-11-23T03:18:12.000Z,couldn u anymore hype year full heavy hitters
62,1.0,1462983894223839239,2021-11-23T03:18:35.000Z,update fell asleep couch minutes watching fear may not make
64,1.0,1462984082133065730,2021-11-23T03:19:20.000Z,greatest final answer ever tonight
65,1.0,1462984156665638916,2021-11-23T03:19:38.000Z,also want someone congratulate solving really hard final puzzles wheel much ask u f
66,1.0,1462984181626150914,2021-11-23T03:19:44.000Z,
67,1.0,1462984227021021192,2021-11-23T03:19:55.000Z,miss good old days vitriol spewed champion based
68,1.0,1462984271895822338,2021-11-23T03:20:06.000Z,producers f ing amy side side categories u cyou make feel u u clike naturalized woman u
69,1.0,1462984277646217219,2021-11-23T03:20:07.000Z,joke answers score double every time
71,1.0,1462984509532655621,2021-11-23T03:21:02.000Z,guess u filling today might well drop get holiday started early u ther u
73,1.0,1462984715074347018,2021-11-23T03:21:51.000Z,ohhh oh oh question u answer u cwhat happens stock everybody side trade u
74,1.0,1462984719755272197,2021-11-23T03:21:52.000Z,people actually watch not shout answers know
76,1.0,1462984855239618562,2021-11-23T03:22:25.000Z,adn n nmaichard real n n boycottmzetxaptxgma
77,1.0,1462984894808670215,2021-11-23T03:22:34.000Z,none contestants recognized grace kelly u got least years screaming tv
78,1.0,1462984977503723525,2021-11-23T03:22:54.000Z,like let host
79,1.0,1462985044507574274,2021-11-23T03:23:10.000Z,changed channel catch final score later
81,1.0,1462985192381898756,2021-11-23T03:23:45.000Z,see hanks black
82,1.0,1462985192394555394,2021-11-23T03:23:45.000Z,not white know double
87,1.0,1462985596087857155,2021-11-23T03:25:21.000Z,dude toc tournament champions going absolute bloodbath year amy andrew jonathan matt amodio ton absolute heavyweights
88,1.0,1462985663251456005,2021-11-23T03:25:37.000Z,thought hilarious u f
89,1.0,1462985750203543554,2021-11-23T03:25:58.000Z,not amazing time champion also rd highest day total contestant show u year history truly trans icon proud
90,1.0,1462985791999672321,2021-11-23T03:26:08.000Z,double good not even talk
92,1.0,1462985828288712711,2021-11-23T03:26:17.000Z,imagine like mmorpg defeat someone get loot
93,1.0,1462985872161316871,2021-11-23T03:26:27.000Z,ikr no need apologize u f
95,1.0,1462986024322146305,2021-11-23T03:27:03.000Z,look younger every day n
99,1.0,1462986130492575748,2021-11-23T03:27:29.000Z,way men yell watch football yell watch
100,1.0,1462986163577188355,2021-11-23T03:27:37.000Z,tune watch amy continue rep oakland week
104,1.0,1462986538690744320,2021-11-23T03:29:06.000Z,episode went flames against time champ going th win years original w host art fleming became time champion age unusual distinction lost twice
105,1.0,1462986539542011909,2021-11-23T03:29:06.000Z,deciding commit president u names memory finally come handy u f got final right tonight
106,1.0,1462986684379787266,2021-11-23T03:29:41.000Z,trusted first instinct us would gotten finaljeopardy correct one others not make end
107,1.0,1462986720236879874,2021-11-23T03:29:49.000Z,jealous wears dress smarter
108,1.0,1462986765019410432,2021-11-23T03:30:00.000Z,need love u category
109,1.0,1462986897597235202,2021-11-23T03:30:32.000Z,amy schneider oakland watch compete abc
112,1.0,1462987371763453952,2021-11-23T03:32:25.000Z,experienced many guest hosts sure cadence pace etc led preference over time favorite pulling get final hosting job
113,1.0,1462987395687661570,2021-11-23T03:32:30.000Z,need love u category
114,1.0,1462987437953716228,2021-11-23T03:32:40.000Z,reason show not permit contestants appeared show alex trebek era years go back no matter well might online test taken several times always told sorry
115,1.0,1462987648151142403,2021-11-23T03:33:30.000Z,kenjennings mayimbialik excellent hosts but given female gameshow hosts love see permanent gig go
120,1.0,1462987969980243973,2021-11-23T03:34:47.000Z,yo son got category n nhe loves beatles owns album box set singles box set vinyl along several books
121,1.0,1462987970496053251,2021-11-23T03:34:47.000Z,need love u category
122,1.0,1462987983867555845,2021-11-23T03:34:51.000Z,rueben get sued playing song piano
123,1.0,1462987998560018435,2021-11-23T03:34:54.000Z,yes u actually pretty rare four day champion u not normal people
126,1.0,1463340425440157696,2021-11-24T02:55:19.000Z,jet chip wasp made tonight chiefskingdom
127,1.0,1463340620332871687,2021-11-24T02:56:06.000Z,latest playful news thanks films funko
128,1.0,1463340660866564101,2021-11-24T02:56:15.000Z,sorry omaha
129,1.0,1463340785189990402,2021-11-24T02:56:45.000Z,final ottawaforthewin
130,1.0,1463340881235169281,2021-11-24T02:57:08.000Z,saw dude finish worst score u ever seen bonus u notre dame alum
131,1.0,1463340912579338240,2021-11-24T02:57:15.000Z,sleeping but twitter spaces kinda going hard
132,1.0,1463341053889679367,2021-11-24T02:57:49.000Z,parents eating ice cream watching good tuesday night
133,1.0,1463341078321381377,2021-11-24T02:57:55.000Z,said u say true life goal absolutely eat shit someday
136,1.0,1463341278259728388,2021-11-24T02:58:42.000Z,
137,1.0,1463341310329376771,2021-11-24T02:58:50.000Z,soooo cool
140,1.0,1463341593285566466,2021-11-24T02:59:58.000Z,
141,1.0,1463341653993922563,2021-11-24T03:00:12.000Z,dream jesus going heal guy healing said announcer voice u cthis u iiiisssss leprosy u
142,1.0,1463341662780936194,2021-11-24T03:00:14.000Z,know know nask ask n ottawa
143,1.0,1463341688156561411,2021-11-24T03:00:20.000Z,since president biden sworn january th seditious white supremacists ted cruz josh hawley del u
144,1.0,1463341699627991041,2021-11-24T03:00:23.000Z,jet chip wasp made tonight chiefskingdom
145,1.0,1463341723426295808,2021-11-24T03:00:29.000Z,used jen psaki clue anyone else catch psakibomb
146,1.0,1463341753621168133,2021-11-24T03:00:36.000Z,strong words correct responses yelled tv tonight sigh
149,1.0,1463341947658059776,2021-11-24T03:01:22.000Z,no but rocked double
150,1.0,1463342017426046983,2021-11-24T03:01:39.000Z,chrispike coming alaska time sucks cool good catch
152,1.0,1463342039081259015,2021-11-24T03:01:44.000Z,chrispike still trendingand probably last hours
153,1.0,1463342137114828804,2021-11-24T03:02:07.000Z,deserve every day three made onto hard
154,1.0,1463342295533723655,2021-11-24T03:02:45.000Z,totally normal greatest game
155,1.0,1463342304375283715,2021-11-24T03:02:47.000Z,
156,1.0,1463342380858286081,2021-11-24T03:03:05.000Z,live playing totally legit saw channel right better come watch
159,1.0,1463342517567451137,2021-11-24T03:03:38.000Z,chrispike well let keep trending n njen psaki njen psaki njen psaki njen psaki njen psa u
160,1.0,1463342542766764034,2021-11-24T03:03:44.000Z,chrispike love
161,1.0,1463342566603173888,2021-11-24T03:03:50.000Z,x champ
162,1.0,1463342577185292291,2021-11-24T03:03:52.000Z,well u right u really embarrassed excuse damn brain fatigue don u covid got tested first thing least still tear final minutes think thank kind thoughts
163,1.0,1463342581736255490,2021-11-24T03:03:53.000Z,running year thanksgiving week subscription special athletic no better time check jeo u
164,1.0,1463342582390480896,2021-11-24T03:03:53.000Z,finally ran category
166,1.0,1463342646269595648,2021-11-24T03:04:09.000Z,man pretty sure
167,1.0,1463342649495146500,2021-11-24T03:04:09.000Z,streak
169,1.0,1463342703022940168,2021-11-24T03:04:22.000Z,look finished second mlb lost u cmlb nerds u u accept got don u worry embarrassed u journey u make top eventually
171,1.0,1463342816763867144,2021-11-24T03:04:49.000Z,coulda crushed
172,1.0,1463342817242144768,2021-11-24T03:04:49.000Z,someone vouch
175,1.0,1463342916533899267,2021-11-24T03:05:13.000Z,scuffed
176,1.0,1463342936335302657,2021-11-24T03:05:18.000Z,sorry canada
177,1.0,1463342953318039552,2021-11-24T03:05:22.000Z,point streak may year
179,1.0,1463343008036753423,2021-11-24T03:05:35.000Z,cling cling double
180,1.0,1463343016698015745,2021-11-24T03:05:37.000Z,lady answered correctly psaki
181,1.0,1463343037451538437,2021-11-24T03:05:42.000Z,case missed omaha clue
184,1.0,1463343078346047491,2021-11-24T03:05:52.000Z,dodo bird correct answer tonight thank kno u
187,1.0,1463343214459596804,2021-11-24T03:06:24.000Z,cool skated rideau years ago didn u know unesco site though
188,1.0,1463343276019404803,2021-11-24T03:06:39.000Z,not everyone
190,1.0,1463343396085542912,2021-11-24T03:07:07.000Z,ian moran jen psaki spokesperson role not job white house press secretary job but not u
191,1.0,1463343421117059072,2021-11-24T03:07:13.000Z,lady answered correctly psaki
192,1.0,1463343423591784451,2021-11-24T03:07:14.000Z,jet chip wasp made tonight chiefskingdom
193,1.0,1463343551744385039,2021-11-24T03:07:45.000Z,boise state tonight
194,1.0,1463343565262761984,2021-11-24T03:07:48.000Z,saw us last night science center featured question cleveland staycuriouscle https u
195,1.0,1463343572774801412,2021-11-24T03:07:50.000Z,probably would gotten two
196,1.0,1463343588599865346,2021-11-24T03:07:53.000Z,u imagine someone not knowing u f
197,1.0,1463343608250179587,2021-11-24T03:07:58.000Z,n n n ni made giraffeneckmarc but never ended using feel free want
198,1.0,1463343656060997638,2021-11-24T03:08:09.000Z,soon said world caps not jam
199,1.0,1463343686083915785,2021-11-24T03:08:17.000Z,increasingly bitter billionaire family feud putting hinduja group one world largest conglomerates risk
200,1.0,1463343747035451396,2021-11-24T03:08:31.000Z,foolishbb alert
203,1.0,1463343883119742983,2021-11-24T03:09:04.000Z,know know n n
204,1.0,1463343953810362371,2021-11-24T03:09:20.000Z,jet chip wasp made tonight chiefskingdom
206,1.0,1463343974274449414,2021-11-24T03:09:25.000Z,sorry omaha
208,1.0,1463344089475211266,2021-11-24T03:09:53.000Z,someone watching tonight
211,1.0,1463344171050323978,2021-11-24T03:10:12.000Z,not know
214,1.0,1463344381239377925,2021-11-24T03:11:02.000Z,fudge watched every celebrity category read sean connery
215,1.0,1463344590988185605,2021-11-24T03:11:52.000Z,woke given sam college championship comes cool k cash prize say financial situation not dire fantasising u f u u ufe f
216,1.0,1463344598080790533,2021-11-24T03:11:54.000Z,sorry omaha
217,1.0,1463344632457089026,2021-11-24T03:12:02.000Z,know one
220,1.0,1463344821972705285,2021-11-24T03:12:47.000Z,playing style game show didn u answer questions
221,1.0,1463344837546049536,2021-11-24T03:12:51.000Z,ummmmmm
222,1.0,1463344856529616907,2021-11-24T03:12:56.000Z,toughie final tonight contestants guessed paris amsterdam alex would pissed
225,1.0,1463345091477704705,2021-11-24T03:13:52.000Z,sorry omaha
226,1.0,1463345109357977601,2021-11-24T03:13:56.000Z,fa fa chop yet
227,1.0,1463345127422939138,2021-11-24T03:14:00.000Z,weck question
229,1.0,1463345161996439558,2021-11-24T03:14:08.000Z,killed category couch
231,1.0,1463345213955477510,2021-11-24T03:14:21.000Z,recruiting manager tonight still waiting call back but wife said probably met quota crypto recruiters season u f u f
232,1.0,1463345219592671232,2021-11-24T03:14:22.000Z,yes know category omaha not iowa but know lot nebraska living iowa lot friends nebraska
233,1.0,1463345258587033601,2021-11-24T03:14:31.000Z,buehlerrbw space better
234,1.0,1463345299452215296,2021-11-24T03:14:41.000Z,space gotten people since joined don u doubt mlbnerds influence
236,1.0,1463345377457934339,2021-11-24T03:15:00.000Z,observing contestants answer obscure questions ease minutes flummoxed questions omaha ne u realized fact live middle nowhere
237,1.0,1463345390674235397,2021-11-24T03:15:03.000Z,sort like response covid u nobody knows u like living good life
238,1.0,1463345439118282752,2021-11-24T03:15:14.000Z,ouch
241,1.0,1463345616839397379,2021-11-24T03:15:57.000Z,sorry omaha
242,1.0,1463345672413982727,2021-11-24T03:16:10.000Z,wonder contestants specifically told u wager
243,1.0,1463345714713399296,2021-11-24T03:16:20.000Z,
244,1.0,1463345757663248385,2021-11-24T03:16:30.000Z,sorry omaha
248,1.0,1463345988022808578,2021-11-24T03:17:25.000Z,little ashamed knew considering spent fall break omaha
252,1.0,1463346151340523520,2021-11-24T03:18:04.000Z,sorry omaha
253,1.0,1463346183536095233,2021-11-24T03:18:12.000Z,sorry omaha
254,1.0,1463346200757817346,2021-11-24T03:18:16.000Z,not know but bet contestants specifically told not make ok symbols hands
255,1.0,1463346251529953281,2021-11-24T03:18:28.000Z,u u mutual u knowledge share u f c
256,1.0,1463346313492418561,2021-11-24T03:18:43.000Z,u mlb twitter
257,1.0,1463346320815628288,2021-11-24T03:18:45.000Z,twitter scuffed x
258,1.0,1463346365275283464,2021-11-24T03:18:55.000Z,peyton manning audible
259,1.0,1463346388444483592,2021-11-24T03:19:01.000Z,boise state tonight
260,1.0,1463346461815422982,2021-11-24T03:19:18.000Z,people win money buy fucking bookshelf
261,1.0,1463346471143628804,2021-11-24T03:19:21.000Z,saw us last night science center featured question cleveland staycuriouscle https u
262,1.0,1463346601594925063,2021-11-24T03:19:52.000Z,mlb
263,1.0,1463346709652721675,2021-11-24T03:20:17.000Z,sorry omaha
264,1.0,1463346753529434120,2021-11-24T03:20:28.000Z,amy schneider punching tournament champions ticket yesterday game means u
265,1.0,1463346785716510720,2021-11-24T03:20:36.000Z,day one questions answers torrents video files need people know felt death soul
267,1.0,1463346894311149568,2021-11-24T03:21:01.000Z,congrats queen amy absolutely slaying sixbroadway clue u f c check royal appearance http u
268,1.0,1463346966931378183,2021-11-24T03:21:19.000Z,yall driving insane dawg
269,1.0,1463347025861304320,2021-11-24T03:21:33.000Z,somebody timeline live tweeting answers space btw
270,1.0,1463347032551268354,2021-11-24T03:21:34.000Z,final ottawaforthewin
271,1.0,1463347056685236225,2021-11-24T03:21:40.000Z,wonder contestants specifically told u wager
272,1.0,1463347065564528641,2021-11-24T03:21:42.000Z,take omaha please n nhost according band omaha stuff come man invented souls breathes band
273,1.0,1463347081804931077,2021-11-24T03:21:46.000Z,final ottawaforthewin
274,1.0,1463347146485284867,2021-11-24T03:22:02.000Z,last clue broke camel back forced bills fan stop watching trebek less debacle known nq hail murray
276,1.0,1463347228299313155,2021-11-24T03:22:21.000Z,negative score double kick off stage final let back stage game over get negative scores like percent not think allow back stage
277,1.0,1463347228790067200,2021-11-24T03:22:21.000Z,guy matt lol
279,1.0,1463347347434393603,2021-11-24T03:22:49.000Z,pt streak st half
280,1.0,1463347396373590017,2021-11-24T03:23:01.000Z,chilli spot lol
281,1.0,1463347435015598081,2021-11-24T03:23:10.000Z,think negative worst score seen n nwonder record
282,1.0,1463347607804071941,2021-11-24T03:23:52.000Z,not believe watching actually yelling screen officially nerd
283,1.0,1463347642763661313,2021-11-24T03:24:00.000Z,bet peyton manning clues scattered least one u f u u ufe f
284,1.0,1463347659201294343,2021-11-24T03:24:04.000Z,deserve every day three made onto hard
285,1.0,1463347665471737870,2021-11-24T03:24:05.000Z,looks like point streak tonight
286,1.0,1463347666239168512,2021-11-24T03:24:05.000Z,poor matt u made many mistakes end owing u f
287,1.0,1463347792961671173,2021-11-24T03:24:36.000Z,know would gotten omaha category today u f u
288,1.0,1463347798431215618,2021-11-24T03:24:37.000Z,umm u point streak
289,1.0,1463347837266272259,2021-11-24T03:24:46.000Z,long term space commercialization could russia china continue pursue dangerous asat weaponry n nwe u
290,1.0,1463347865477005313,2021-11-24T03:24:53.000Z,ladies allowed final u f
291,1.0,1463347953595265027,2021-11-24T03:25:14.000Z,let derozanfan create
295,1.0,1463348056544395267,2021-11-24T03:25:39.000Z,payton manning question put omaha map
297,1.0,1463348076257677314,2021-11-24T03:25:43.000Z,matt right favorite player sits
299,1.0,1463348205245001733,2021-11-24T03:26:14.000Z,sorry omaha
301,1.0,1463348226589749251,2021-11-24T03:26:19.000Z,u clet carson participate u
302,1.0,1463348230561882114,2021-11-24T03:26:20.000Z,three point streak
303,1.0,1463348237604110346,2021-11-24T03:26:22.000Z,sssshhhhh u truth known u many u
304,1.0,1463348269522690049,2021-11-24T03:26:29.000Z,saw guy finish dollars negative
305,1.0,1463348293526863877,2021-11-24T03:26:35.000Z,u clet carson participate u
306,1.0,1463348336275173381,2021-11-24T03:26:45.000Z,carson got best twitter hands
307,1.0,1463348377652011010,2021-11-24T03:26:55.000Z,entering space
308,1.0,1463348380965425155,2021-11-24T03:26:56.000Z,let derozanfan create
309,1.0,1463348392545988609,2021-11-24T03:26:59.000Z,point streak u f
310,1.0,1463348398279569414,2021-11-24T03:27:00.000Z,need know one answers questions whatever
311,1.0,1463348441149362176,2021-11-24T03:27:10.000Z,matt went swinging respect u u f fe
312,1.0,1463348459659014147,2021-11-24T03:27:15.000Z,th amendment proffers right grand jury forbids double protects against self incriminati u
313,1.0,1463348476213968896,2021-11-24T03:27:19.000Z,streak
314,1.0,1463348511521398787,2021-11-24T03:27:27.000Z,ni really like ken jennings host natural not take away clues kenjennings nalso goamy amazing
315,1.0,1463348525488611330,2021-11-24T03:27:30.000Z,u clet carson participate u
316,1.0,1463348608221294595,2021-11-24T03:27:50.000Z,let ryangarciaesm write question
317,1.0,1463348742615191554,2021-11-24T03:28:22.000Z,u peyton u category
318,1.0,1463348751628656641,2021-11-24T03:28:24.000Z,janton better joke joke placing third
320,1.0,1463348956612677632,2021-11-24T03:29:13.000Z,streak
321,1.0,1463349078457126915,2021-11-24T03:29:42.000Z,u look like matt not transpenis guy
323,1.0,1463349122203803650,2021-11-24T03:29:53.000Z,saw us last night science center featured question cleveland staycuriouscle https u
324,1.0,1463349162565644301,2021-11-24T03:30:02.000Z,though u warn u fairly sad watch anyway although lgbt shelters amazing not every city one still comes back shelters excluding trans people denying help lead even worse situation
325,1.0,1463349201471873024,2021-11-24T03:30:12.000Z,yes ken awesome host
326,1.0,1463349226524614656,2021-11-24T03:30:17.000Z,heatcheque
327,1.0,1463349231687806979,2021-11-24T03:30:19.000Z,heatcheque
330,1.0,1463349335786205190,2021-11-24T03:30:44.000Z,jet chip wasp made tonight chiefskingdom
331,1.0,1463349371337117698,2021-11-24T03:30:52.000Z,swept category n homaha
332,1.0,1463349396934995980,2021-11-24T03:30:58.000Z,u clet heatcheque play u
333,1.0,1463349432666279946,2021-11-24T03:31:07.000Z,answers omaha evening fairly easy but brainiacs got fact right say coc need promote great city
334,1.0,1463349462575767554,2021-11-24T03:31:14.000Z,sorry omaha
336,1.0,1463349533459599369,2021-11-24T03:31:31.000Z,round go textbooks
337,1.0,1463349581215944711,2021-11-24T03:31:42.000Z,let randy write questions
338,1.0,1463349608478695426,2021-11-24T03:31:49.000Z,answer question tonight ottawa ken jennings said ottawa canada parents spent good seconds irate no one says ottawa ontario canada
339,1.0,1463349610240434180,2021-11-24T03:31:49.000Z,
341,1.0,1463349677508771841,2021-11-24T03:32:05.000Z,got u cheatcheque u
342,1.0,1463349699499511810,2021-11-24T03:32:10.000Z,round
343,1.0,1463349754289610761,2021-11-24T03:32:23.000Z,round
344,1.0,1463349815367004160,2021-11-24T03:32:38.000Z,got love formidable opponent
346,1.0,1463349954374742016,2021-11-24T03:33:11.000Z,jun gon na love
348,1.0,1463349976780754955,2021-11-24T03:33:16.000Z,don u remember order clues but correct responses zoo clue u
349,1.0,1463349984439386115,2021-11-24T03:33:18.000Z,live playing totally legit saw channel right better come watch u
350,1.0,1463350084716879877,2021-11-24T03:33:42.000Z,round
351,1.0,1463350178904215559,2021-11-24T03:34:05.000Z,mom pointed season u first five day champ u not man courtney shaw last season two women toc
352,1.0,1463350227243610117,2021-11-24T03:34:16.000Z,omaha category not
353,1.0,1463702777725607941,2021-11-25T02:55:11.000Z,made decent host
354,1.0,1463703006617157632,2021-11-25T02:56:05.000Z,latest playful news thanks thejeopardyfan films funko
355,1.0,1463703099575521280,2021-11-25T02:56:27.000Z,devens enjoy playing final week n survivor
356,1.0,1463703125655699460,2021-11-25T02:56:34.000Z,watched x amy schneider bonnie lapwood taylor mills trakt
357,1.0,1463703305591349251,2021-11-25T02:57:17.000Z,u take u cthis freaking amazing u sent lovely picture tonight u episode u
358,1.0,1463703675310907400,2021-11-25T02:58:45.000Z,jet chip wasp made tonight chiefskingdom
359,1.0,1463703994879127558,2021-11-25T03:00:01.000Z,shortz clues puzzle enthusiasts
360,1.0,1463704173044637705,2021-11-25T03:00:43.000Z,game winner amy schneider going tournament champions let see u win th game tomorrow n nhttps u
362,1.0,1463704518286184453,2021-11-25T03:02:06.000Z,mayim bialik host permanently natural charismatic engaging guests fluent reading clues really enjoyable watch mayimforhost
363,1.0,1463704522446962692,2021-11-25T03:02:07.000Z,u never rooted contestant fail said doesn u care pie pi
365,1.0,1463704867567026178,2021-11-25T03:03:29.000Z,game show would go u interview fun fact prepared since tellonym
366,1.0,1463704873392914433,2021-11-25T03:03:30.000Z,shortz clues puzzle enthusiasts
367,1.0,1463705087101095940,2021-11-25T03:04:21.000Z,season nuts another strong contender shaping timer tournament champions
369,1.0,1463705285315502082,2021-11-25T03:05:09.000Z,let know give answer
371,1.0,1463705366579986439,2021-11-25T03:05:28.000Z,years ago coined night thanksgiving party night u trying get canonized could help u night hang home town friends family day biggest party night year jeopardypartynight
373,1.0,1463705492245688325,2021-11-25T03:05:58.000Z,yoon ek u one shows guiltlessly rewatch u glad got shoutout u f
376,1.0,1463705499501744130,2021-11-25T03:06:00.000Z,seen horror well anyone want go pronouncing
377,1.0,1463705565771743235,2021-11-25T03:06:15.000Z,home watching dvr u f u kind life live u okay
378,1.0,1463705639524392962,2021-11-25T03:06:33.000Z,sean connery ncelebrity nnuff said
379,1.0,1463705652661043200,2021-11-25T03:06:36.000Z,gives expecting win
380,1.0,1463705751814230021,2021-11-25T03:07:00.000Z,ready omaha quiz n n
383,1.0,1463705862346723331,2021-11-25T03:07:26.000Z,winner third triple crown horse racing
386,1.0,1463705924036706308,2021-11-25T03:07:41.000Z,oh irony u trebek would never pull crap
390,1.0,1463706302769623050,2021-11-25T03:09:11.000Z,love tv category right first clue
391,1.0,1463706319538438146,2021-11-25T03:09:15.000Z,jsopdrdps
392,1.0,1463706338110971912,2021-11-25T03:09:20.000Z,let u play jsordrdps
394,1.0,1463706384311234567,2021-11-25T03:09:31.000Z,fucking audacity
395,1.0,1463706483703664646,2021-11-25T03:09:54.000Z,yes love jsordrdps
398,1.0,1463706545288482827,2021-11-25T03:10:09.000Z,seen horror well anyone want go pronouncing
400,1.0,1463706740667543559,2021-11-25T03:10:55.000Z,congratulations u found person earth doesn u like pie truly trivial success tv
401,1.0,1463706804399923212,2021-11-25T03:11:11.000Z,guess day champion could not answer final question ottawa answer world capitals category
403,1.0,1463707018833760265,2021-11-25T03:12:02.000Z,u take u cthis freaking amazing u sent lovely picture tonight u episode u
404,1.0,1463707195783188481,2021-11-25T03:12:44.000Z,yoon ek u f
406,1.0,1463707317615144960,2021-11-25T03:13:13.000Z,u terrific job host hope permanent host
407,1.0,1463707397285810179,2021-11-25T03:13:32.000Z,peggy u cove drop tonight
409,1.0,1463707498452598784,2021-11-25T03:13:56.000Z,see years n nthis ny nhl team nov th first game ubs arena n n beep beep ny islanders n n host no
413,1.0,1463707997792833538,2021-11-25T03:15:55.000Z,pm pm h genied genieing thehumans
416,1.0,1463708659532193793,2021-11-25T03:18:33.000Z,didnt tell ken jennings hosting week
418,1.0,1463708806895095815,2021-11-25T03:19:08.000Z,yes love jsordrdps
419,1.0,1463708844878565380,2021-11-25T03:19:17.000Z,answer clue u sept good day californian
420,1.0,1463708848229916687,2021-11-25T03:19:18.000Z,jet chip wasp made tonight chiefskingdom
422,1.0,1463709031512616971,2021-11-25T03:20:02.000Z,care right vote reply tweet hashtag saveourrighttovote graphic u
427,1.0,1463709398753181697,2021-11-25T03:21:29.000Z,hoeven omg hair u f
430,1.0,1463709651157938181,2021-11-25T03:22:29.000Z,permanent host u
434,1.0,1463710038187339779,2021-11-25T03:24:02.000Z,may lost but still win
438,1.0,1463710246422077441,2021-11-25T03:24:51.000Z,hear soap opera
440,1.0,1463710301581451265,2021-11-25T03:25:04.000Z,think love idea love baseball sport without traditional clock also surprise element good celebrity player rules play lose celebrity ken jennings chess need
442,1.0,1463710366534361092,2021-11-25T03:25:20.000Z,want able stream much ask
443,1.0,1463710522562338823,2021-11-25T03:25:57.000Z,play music voting time think stimulate thinking fun
444,1.0,1463710625222299651,2021-11-25T03:26:22.000Z,happy thanksgiving blind guess family lots love brooklyn blindguess
445,1.0,1463710714778902534,2021-11-25T03:26:43.000Z,game recognizes game okseeyou
